scenario_id,stratum,prompt_variant,pair_id,orientation,judge_model,author_left,author_right,preferred_side,preferred_author,preferred_rating,syllable_judgment_correct_left,syllable_judgment_correct_right,eval_log
ab_loneliness_natural,abstract,natural,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,B,claude-sonnet-4-6,9,1,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_memory_natural,abstract,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_memory_natural,abstract,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,A,claude-sonnet-4-6,9,1,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_memory_natural,abstract,natural,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,B,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_memory_natural,abstract,natural,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,A,gpt-4o-mini,8,0,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_memory_natural,abstract,natural,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,B,gpt-4o-mini,9,1,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_memory_natural,abstract,natural,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_silence_strict,abstract,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_silence_strict,abstract,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,B,claude-haiku-4-5,8,1,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_silence_strict,abstract,strict,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,A,claude-haiku-4-5,9,0,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_silence_strict,abstract,strict,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,B,claude-haiku-4-5,9,1,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_silence_strict,abstract,strict,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,A,claude-sonnet-4-6,8,1,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_silence_strict,abstract,strict,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,B,claude-sonnet-4-6,8,1,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_time_strict,abstract,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,B,claude-sonnet-4-6,8,1,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_time_strict,abstract,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,A,claude-sonnet-4-6,9,0,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_time_strict,abstract,strict,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,B,gpt-4o-mini,9,1,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_time_strict,abstract,strict,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,A,gpt-4o-mini,8,0,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_time_strict,abstract,strict,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,B,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
ab_time_strict,abstract,strict,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_autumn_strict,concrete_nature,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_autumn_strict,concrete_nature,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,B,claude-haiku-4-5,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_autumn_strict,concrete_nature,strict,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,B,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_autumn_strict,concrete_nature,strict,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,B,claude-haiku-4-5,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_autumn_strict,concrete_nature,strict,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,B,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_autumn_strict,concrete_nature,strict,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_cherry_strict,concrete_nature,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_cherry_strict,concrete_nature,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,B,claude-haiku-4-5,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_cherry_strict,concrete_nature,strict,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,B,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_cherry_strict,concrete_nature,strict,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,A,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_cherry_strict,concrete_nature,strict,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,B,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_cherry_strict,concrete_nature,strict,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,A,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_ocean_strict,concrete_nature,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,A,claude-haiku-4-5,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_ocean_strict,concrete_nature,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,B,claude-haiku-4-5,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_ocean_strict,concrete_nature,strict,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,A,claude-haiku-4-5,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_ocean_strict,concrete_nature,strict,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,B,claude-haiku-4-5,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_ocean_strict,concrete_nature,strict,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,B,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_ocean_strict,concrete_nature,strict,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,A,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_snow_natural,concrete_nature,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,B,claude-sonnet-4-6,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_snow_natural,concrete_nature,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,B,claude-haiku-4-5,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_snow_natural,concrete_nature,natural,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,B,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_snow_natural,concrete_nature,natural,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,B,claude-haiku-4-5,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_snow_natural,concrete_nature,natural,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,A,claude-sonnet-4-6,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_snow_natural,concrete_nature,natural,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_thunder_natural,concrete_nature,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,A,claude-haiku-4-5,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_thunder_natural,concrete_nature,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,A,claude-sonnet-4-6,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_thunder_natural,concrete_nature,natural,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,A,claude-haiku-4-5,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_thunder_natural,concrete_nature,natural,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,B,claude-haiku-4-5,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_thunder_natural,concrete_nature,natural,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,B,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cn_thunder_natural,concrete_nature,natural,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_bicycle_natural,concrete_object,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_bicycle_natural,concrete_object,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,B,claude-haiku-4-5,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_bicycle_natural,concrete_object,natural,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,B,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_bicycle_natural,concrete_object,natural,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,A,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_bicycle_natural,concrete_object,natural,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,B,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_bicycle_natural,concrete_object,natural,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,A,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_clock_strict,concrete_object,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,A,claude-haiku-4-5,9,1,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_clock_strict,concrete_object,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,A,claude-sonnet-4-6,8,1,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_clock_strict,concrete_object,strict,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,A,claude-haiku-4-5,8,1,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_clock_strict,concrete_object,strict,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,B,claude-haiku-4-5,8,1,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_clock_strict,concrete_object,strict,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,A,claude-sonnet-4-6,9,1,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_clock_strict,concrete_object,strict,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,B,claude-sonnet-4-6,8,1,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_coffee_strict,concrete_object,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,A,claude-haiku-4-5,9,1,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_coffee_strict,concrete_object,strict,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,A,claude-sonnet-4-6,9,0,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_coffee_strict,concrete_object,strict,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,B,gpt-4o-mini,9,1,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_coffee_strict,concrete_object,strict,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,A,gpt-4o-mini,9,0,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_coffee_strict,concrete_object,strict,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,A,claude-sonnet-4-6,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_coffee_strict,concrete_object,strict,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,A,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_mirror_natural,concrete_object,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,A,claude-haiku-4-5,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_mirror_natural,concrete_object,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,A,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_mirror_natural,concrete_object,natural,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,A,claude-haiku-4-5,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_mirror_natural,concrete_object,natural,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,A,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_mirror_natural,concrete_object,natural,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,B,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_mirror_natural,concrete_object,natural,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,A,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_window_natural,concrete_object,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_window_natural,concrete_object,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,A,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_window_natural,concrete_object,natural,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,B,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_window_natural,concrete_object,natural,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,A,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_window_natural,concrete_object,natural,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,B,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
co_window_natural,concrete_object,natural,claude-sonnet-4-6__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-sonnet-4-6,A,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cp_bookshelf_natural,compound,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,fwd,gpt-4o-mini,claude-haiku-4-5,claude-sonnet-4-6,B,claude-sonnet-4-6,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cp_bookshelf_natural,compound,natural,claude-haiku-4-5__vs__claude-sonnet-4-6,swap,gpt-4o-mini,claude-sonnet-4-6,claude-haiku-4-5,A,claude-sonnet-4-6,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cp_bookshelf_natural,compound,natural,claude-haiku-4-5__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,B,gpt-4o-mini,8,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cp_bookshelf_natural,compound,natural,claude-haiku-4-5__vs__gpt-4o-mini,swap,gpt-4o-mini,gpt-4o-mini,claude-haiku-4-5,A,gpt-4o-mini,9,0,1,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
cp_bookshelf_natural,compound,natural,claude-sonnet-4-6__vs__gpt-4o-mini,fwd,gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,B,gpt-4o-mini,9,0,0,2026-07-06T00-06-51-00-00_judge-eval_3oYgyBquVqwYkqUKxvF3FM.eval
